               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.011172,           0.0021645,           0.0018807,             0.99876,             0.99932,               0.995,             0.95529,           0.0065145,           0.0016287,            0.001417,           0.0078022,           0.0078022,           0.0078022
                 113,           0.0087374,           0.0020585,           0.0018586,             0.99483,             0.99601,              0.9931,             0.96809,           0.0080824,           0.0016761,           0.0017447,           0.0077824,           0.0077824,           0.0077824
                 114,           0.0090911,           0.0020007,           0.0021032,             0.99683,             0.99623,             0.99498,             0.96933,           0.0080148,           0.0016431,           0.0015264,           0.0077626,           0.0077626,           0.0077626
                 115,           0.0096329,           0.0020432,           0.0018626,             0.99817,             0.99824,               0.995,             0.96477,           0.0082725,           0.0016554,           0.0014217,           0.0077428,           0.0077428,           0.0077428
                 116,            0.010183,           0.0020736,           0.0019429,             0.99829,              0.9982,               0.995,              0.9622,           0.0060343,           0.0015579,           0.0014518,            0.007723,            0.007723,            0.007723
                 117,           0.0088248,            0.002041,            0.001823,             0.99873,                   1,               0.995,              0.9744,           0.0051063,           0.0015328,           0.0013132,           0.0077032,           0.0077032,           0.0077032
                 118,            0.010433,           0.0019674,           0.0016154,             0.99872,                   1,               0.995,             0.95278,           0.0068668,           0.0016261,           0.0012025,           0.0076834,           0.0076834,           0.0076834
                 119,            0.010498,           0.0021186,           0.0017269,              0.9987,                   1,               0.995,             0.96873,           0.0056882,           0.0016087,           0.0012362,           0.0076636,           0.0076636,           0.0076636
                 120,            0.010138,           0.0019464,            0.001751,             0.99873,                   1,               0.995,             0.97098,           0.0065058,           0.0015768,           0.0012467,           0.0076438,           0.0076438,           0.0076438
                 121,           0.0089167,           0.0019719,           0.0017176,              0.9986,                   1,               0.995,             0.96025,           0.0055992,           0.0015788,           0.0012466,            0.007624,            0.007624,            0.007624
                 122,             0.01001,           0.0019934,           0.0018262,             0.99875,                   1,               0.995,             0.97476,           0.0074082,           0.0015376,            0.001227,           0.0076042,           0.0076042,           0.0076042
                 123,            0.010692,           0.0020133,           0.0016904,              0.9969,                   1,               0.995,             0.94631,            0.007948,           0.0016217,           0.0012289,           0.0075844,           0.0075844,           0.0075844
                 124,           0.0093035,           0.0020027,           0.0017596,             0.99887,                   1,               0.995,             0.96439,           0.0065384,           0.0015861,           0.0012826,           0.0075646,           0.0075646,           0.0075646
                 125,           0.0092437,           0.0019895,           0.0017577,             0.99859,                   1,               0.995,             0.96132,           0.0067619,           0.0016356,             0.00133,           0.0075448,           0.0075448,           0.0075448
                 126,           0.0095426,           0.0020183,             0.00175,             0.99865,                   1,               0.995,             0.96115,           0.0066196,           0.0017153,           0.0012817,            0.007525,            0.007525,            0.007525
                 127,            0.011808,           0.0020123,           0.0020879,             0.99805,                   1,               0.995,             0.95224,           0.0069626,            0.001831,           0.0012985,           0.0075052,           0.0075052,           0.0075052
                 128,           0.0096579,           0.0019859,           0.0017013,             0.99843,                   1,               0.995,             0.96314,           0.0078811,           0.0016692,           0.0012739,           0.0074854,           0.0074854,           0.0074854
                 129,           0.0097484,            0.001948,           0.0019414,             0.99857,                   1,               0.995,             0.97039,           0.0065915,           0.0016244,           0.0012983,           0.0074656,           0.0074656,           0.0074656
